transaction_id,user_id,transaction_amount,transaction_date,transaction_time,payment_method,location,fraud_label
101,1,1200.0,2023-09-01, 10:00:00,Credit Card,New York,0
102,2,250.75,2023-09-01, 11:00:00,Debit Card,Los Angeles,0
103,3,500.0,2023-09-01, 12:00:00,Credit Card,Chicago,0
104,1,750.0,2023-09-02, 09:00:00,PayPal,New York,0
105,4,1800.5,2023-09-02 ,10:30:00,Credit Card,Houston,1
106,2,100.0,2023-09-02, 12:00:00,Debit Card,Los Angeles,0
107,5,3000.0,2023-09-03, 08:00:00,Credit Card,Phoenix,1
108,3,650.0,2023-09-03, 10:00:00,PayPal,Chicago,0
109,4,200.0,2023-09-03, 12:00:00,Debit Card,Houston,0
110,5,50.0,2023-09-04, 09:30:00,Credit Card,Phoenix,0
